a	I1
-0.390	6.8
-0.396	6.8
-0.401	7.2
-0.406	7.2
-0.412	7.2
-0.417	7.2
-0.422	7.2
-0.428	7.2
-0.433	7.2
-0.438	7.6
-0.444	7.6
-0.449	7.6
-0.455	8.0
-0.460	8.0
-0.465	8.4
-0.471	8.4
-0.476	8.8
-0.481	8.8
-0.487	8.8
-0.492	8.8
-0.497	9.2
-0.503	9.6
-0.508	9.6
-0.513	9.6
-0.519	10.0
-0.524	10.4
-0.529	10.8
-0.535	10.8
-0.540	11.2
-0.545	11.6
-0.551	12.0
-0.556	12.4
-0.561	12.8
-0.567	13.6
-0.572	14.4
-0.578	15.2
-0.583	16.0
-0.588	16.8
-0.594	17.6
-0.599	18.4
-0.604	19.6
-0.610	21.2
-0.615	22.4
-0.620	24.0
-0.626	25.6
-0.631	27.6
-0.636	29.6
-0.642	31.6
-0.647	33.6
-0.652	36.0
-0.658	38.4
-0.663	41.2
-0.668	43.6
-0.674	45.6
-0.679	47.6
-0.684	50.0
-0.690	50.4
-0.695	50.0
-0.701	49.2
-0.706	47.2
-0.711	44.4
-0.717	41.2
-0.722	37.6
-0.727	34.0
-0.733	30.0
-0.738	26.4
-0.743	23.2
-0.749	20.4
-0.754	18.0
-0.759	16.0
-0.765	14.4
-0.770	13.2
-0.775	12.0
-0.781	11.2
-0.786	10.4
-0.791	10.0
-0.797	9.6
-0.802	9.2
-0.807	8.8
-0.813	8.4
-0.818	8.0
-0.823	7.6
-0.829	7.6
-0.834	7.2
-0.840	7.2
-0.845	7.2
-0.850	7.2
-0.856	7.2
-0.861	6.8
-0.866	6.8
-0.872	6.8
-0.877	6.8
-0.882	6.8
-0.888	6.8
-0.893	6.8
-0.898	6.8
-0.904	6.8
-0.909	6.8
-0.914	6.8
-0.920	7.2
-0.925	7.2
-0.930	7.2
-0.936	7.2
-0.941	7.2
-0.946	7.2
-0.952	7.6
-0.957	7.6
-0.962	8.0
-0.968	8.4
-0.973	8.8
-0.979	8.8
-0.984	9.2
-0.989	9.6
-0.995	10.0
-1.000	10.4
-1.005	11.2
-1.011	11.6
-1.016	12.8
-1.021	14.0
-1.027	15.6
-1.032	16.4
-1.037	17.6
-1.043	19.2
-1.048	21.2
-1.053	23.2
-1.059	25.6
-1.064	28.4
-1.069	31.6
-1.075	34.8
-1.080	38.4
-1.085	41.2
-1.091	44.0
-1.096	45.6
-1.101	46.0
-1.107	44.8
-1.112	42.0
-1.118	38.0
-1.123	33.2
-1.128	28.4
-1.134	24.0
-1.139	20.4
-1.144	17.6
-1.150	14.8
-1.155	12.8
-1.160	11.6
-1.166	10.8
-1.171	10.0
-1.176	9.2
-1.182	8.8
-1.187	8.4
-1.192	8.0
-1.198	7.6
-1.203	7.2
-1.208	7.2
-1.214	6.8
-1.219	6.8
-1.224	6.8
-1.230	6.8
-1.235	6.8
-1.240	6.8
-1.246	7.2
-1.251	7.2
-1.256	7.2
-1.262	7.2
-1.267	7.2
-1.273	7.2
-1.278	7.2
