a	I1
-1.476	26.9
-1.481	24.5
-1.486	22.8
-1.492	21.6
-1.497	20.8
-1.502	20.4
-1.508	20.5
-1.513	20.8
-1.518	21.5
-1.524	22.2
-1.529	23.3
-1.534	24.9
-1.540	26.8
-1.545	29.0
-1.550	31.7
-1.556	34.5
-1.561	37.6
-1.566	40.5
-1.572	43.0
-1.577	44.5
-1.582	44.8
-1.588	43.8
-1.593	42.6
-1.599	41.7
-1.604	41.7
-1.609	42.8
-1.615	45.0
-1.620	47.7
-1.625	50.5
-1.631	52.5
-1.636	53.3
-1.641	52.0
-1.647	49.2
-1.652	45.3
-1.657	41.7
-1.663	39.0
-1.668	37.6
-1.673	36.8
-1.679	36.8
-1.684	36.9
-1.689	36.7
-1.695	35.5
-1.700	33.4
-1.705	30.6
-1.711	26.0
-1.716	24.0
-1.721	22.4
-1.727	21.2
-1.732	20.4
-1.737	20.1
-1.743	20.2
-1.748	20.8
-1.753	21.6
-1.759	22.9
-1.764	24.6
-1.769	26.7
-1.775	29.3
-1.780	32.3
-1.786	35.6
-1.791	38.9
-1.796	41.7
-1.802	43.1
-1.807	42.9
-1.812	41.7
-1.818	40.7
-1.823	40.6
-1.828	41.7
-1.834	44.0
-1.839	47.0
-1.844	49.9
-1.850	51.5
-1.855	51.2
-1.860	48.4
-1.866	44.4
-1.871	40.5
-1.876	37.7
-1.882	36.2
-1.887	35.8
-1.892	35.8
-1.898	35.7
-1.903	34.8
-1.908	32.8
-1.914	29.8
-1.919	26.6
-1.924	23.9
-1.930	21.9
-1.935	20.5
-1.940	20.0
-1.946	20.0
-1.951	20.4
-1.956	21.2
-1.962	22.4
-1.967	24.2
-1.972	26.7
-1.978	29.7
-1.983	33.2
-1.989	36.9
-1.994	40.0
-1.999	41.7
-2.005	41.7
-2.010	40.4
-2.015	39.3
-2.021	39.5
-2.026	41.2
-2.031	44.0
-2.037	46.9
-2.042	49.0
-2.047	49.3
-2.053	47.1
-2.058	42.9
-2.063	39.2
-2.069	36.7
-2.074	35.5
-2.079	35.1
-2.085	35.1
-2.090	34.6
-2.095	32.8
-2.101	29.7
-2.106	26.2
-2.111	23.1
-2.117	21.0
-2.122	19.8
-2.127	19.4
-2.133	19.4
-2.138	20.1
-2.143	21.2
-2.149	22.7
-2.154	24.8
-2.159	27.6
-2.165	31.1
-2.170	35.1
-2.175	38.4
-2.181	39.9
-2.186	39.6
-2.191	38.5
-2.197	38.1
-2.202	39.0
-2.207	41.3
-2.213	44.5
-2.218	47.1
-2.223	47.8
-2.229	45.5
-2.234	41.5
-2.240	37.8
-2.245	35.2
-2.250	34.0
-2.256	33.6
-2.261	33.2
-2.266	31.9
-2.272	29.4
-2.277	26.1
-2.282	23.1
-2.288	20.9
-2.293	19.6
-2.298	19.1
-2.304	19.1
-2.309	19.9
-2.314	21.1
-2.320	23.1
-2.325	25.8
-2.330	29.1
-2.336	32.7
-2.341	36.2
-2.346	38.1
-2.352	38.1
-2.357	37.0
-2.362	36.5
-2.368	37.5
-2.373	40.1
-2.378	43.2
-2.384	45.5
-2.389	45.1
-2.394	42.0
-2.400	38.1
-2.405	34.9
-2.410	33.3
-2.416	32.7
-2.421	32.3
-2.426	31.2
-2.432	28.7
-2.437	25.5
-2.442	22.3
-2.448	20.2
-2.453	19.0
-2.458	18.6
-2.464	18.8
-2.469	19.7
-2.474	21.2
-2.480	23.2
-2.485	26.1
-2.490	29.7
-2.496	33.3
-2.501	35.6
-2.506	35.8
-2.512	34.8
-2.517	34.3
-2.522	35.1
-2.528	37.2
-2.533	39.7
-2.538	41.1
-2.544	40.1
-2.549	37.1
-2.554	33.9
-2.560	31.8
-2.565	30.8
-2.570	30.3
-2.576	29.6
-2.581	27.4
-2.586	24.4
-2.592	21.5
-2.597	19.4
-2.602	18.2
-2.608	17.8
-2.613	18.1
-2.619	18.9
-2.624	20.5
-2.629	22.8
-2.635	25.7
-2.640	29.0
-2.645	31.8
-2.651	32.9
-2.656	32.5
-2.661	31.9
-2.667	32.3
-2.672	34.3
-2.677	36.6
-2.683	38.0
-2.688	37.0
-2.693	34.0
-2.699	30.9
-2.704	28.9
-2.709	27.9
-2.715	27.3
-2.720	26.1
-2.725	23.9
-2.731	21.2
-2.736	17.7
-2.741	16.7
-2.747	16.3
-2.752	16.3
-2.757	17.1
-2.763	18.3
-2.768	20.2
-2.773	22.5
-2.779	25.3
-2.784	27.6
-2.789	28.5
-2.795	28.2
-2.800	27.9
-2.805	28.5
-2.811	30.1
-2.816	31.9
-2.821	32.4
-2.827	30.8
-2.832	28.0
-2.837	25.8
-2.843	24.6
-2.848	24.0
-2.853	23.2
-2.859	21.4
-2.864	19.2
-2.869	17.2
-2.875	15.9
-2.880	15.1
-2.885	15.1
-2.891	15.5
-2.896	16.5
-2.901	17.8
-2.907	19.7
-2.912	21.7
-2.917	23.1
-2.923	23.6
-2.928	23.4
-2.933	23.4
-2.939	24.3
-2.944	25.6
-2.949	26.5
-2.955	25.8
-2.960	24.1
-2.965	22.2
-2.971	21.0
-2.976	20.3
-2.981	19.6
-2.987	18.4
-2.992	16.8
-2.997	15.1
-3.003	14.0
-3.008	13.4
-3.013	13.4
