a	I
-0.297	22.7
-0.299	22.7
-0.302	22.7
-0.305	22.8
-0.307	22.8
-0.310	22.8
-0.313	22.8
-0.316	22.7
-0.318	22.7
-0.321	22.7
-0.324	22.8
-0.326	22.8
-0.329	22.8
-0.332	22.8
-0.334	22.8
-0.337	22.7
-0.340	22.7
-0.342	22.8
-0.345	22.8
-0.348	22.7
-0.350	22.7
-0.353	22.7
-0.356	22.7
-0.358	22.7
-0.361	22.8
-0.364	22.8
-0.366	22.8
-0.369	22.8
-0.372	22.8
-0.374	22.7
-0.377	22.7
-0.380	22.8
-0.382	22.8
-0.385	22.7
-0.388	22.7
-0.390	22.7
-0.393	22.7
-0.396	22.7
-0.398	22.7
-0.401	22.7
-0.404	22.7
-0.406	22.7
-0.409	22.7
-0.412	22.7
-0.414	22.7
-0.417	22.7
-0.420	22.7
-0.422	22.7
-0.425	22.7
-0.428	22.7
-0.430	22.7
-0.433	22.7
-0.436	22.7
-0.438	22.7
-0.441	22.7
-0.444	22.7
-0.447	22.8
-0.449	22.7
-0.452	22.7
-0.455	22.8
-0.457	22.8
-0.460	22.8
-0.463	22.8
-0.465	22.8
-0.468	22.8
-0.471	22.8
-0.473	22.7
-0.476	22.8
-0.479	22.8
-0.481	22.7
-0.484	22.8
-0.487	22.8
-0.489	22.8
-0.492	22.8
-0.495	22.8
-0.497	22.8
-0.500	22.8
-0.503	22.8
-0.505	22.8
-0.508	22.8
-0.511	22.8
-0.513	22.8
-0.516	22.8
-0.519	22.8
-0.521	22.8
-0.524	22.8
-0.527	22.8
-0.529	22.8
-0.532	22.8
-0.535	22.8
-0.537	22.8
-0.540	22.8
-0.543	22.8
-0.545	22.8
-0.548	22.8
-0.551	22.8
-0.553	22.9
-0.556	22.9
-0.559	22.9
-0.561	22.9
-0.564	22.9
-0.567	22.9
-0.570	22.9
-0.572	22.9
-0.575	22.9
-0.578	22.9
-0.580	22.9
-0.583	22.9
-0.586	22.9
-0.588	22.9
-0.591	22.9
-0.594	22.9
-0.596	22.9
-0.599	22.9
-0.602	22.9
-0.604	22.9
-0.607	22.9
-0.610	22.9
-0.612	22.9
-0.615	22.9
-0.618	22.9
-0.620	22.9
-0.623	22.9
-0.626	22.9
-0.628	23.0
-0.631	23.0
-0.634	23.0
-0.636	23.0
-0.639	23.0
-0.642	23.0
-0.644	23.0
-0.647	23.0
-0.650	23.0
-0.652	23.0
-0.655	23.0
-0.658	23.0
-0.660	23.0
-0.663	23.0
-0.666	23.1
-0.668	23.1
-0.671	23.0
-0.674	23.0
-0.676	23.0
-0.679	23.0
-0.682	23.0
-0.684	23.0
-0.687	23.0
-0.690	23.1
-0.692	23.1
-0.695	23.1
-0.698	23.1
-0.701	23.1
-0.703	23.1
-0.706	23.1
-0.709	23.1
-0.711	23.1
-0.714	23.2
-0.717	23.2
-0.719	23.2
-0.722	23.2
-0.725	23.2
-0.727	23.2
-0.730	23.2
-0.733	23.2
-0.735	23.2
-0.738	23.1
-0.741	23.1
-0.743	23.1
-0.746	23.1
-0.749	23.1
-0.751	23.1
-0.754	23.1
-0.757	23.1
-0.759	23.1
-0.762	23.1
-0.765	23.1
-0.767	23.1
-0.770	23.1
-0.773	23.1
-0.775	23.0
-0.778	23.1
-0.781	23.1
-0.783	23.1
-0.786	23.1
-0.789	23.1
-0.791	23.1
-0.794	23.1
-0.797	23.1
-0.799	23.1
-0.802	23.1
-0.805	23.1
-0.807	23.1
-0.810	23.1
-0.813	23.1
-0.815	23.1
-0.818	23.1
-0.821	23.2
-0.823	23.2
-0.826	23.1
-0.829	23.1
-0.831	23.1
-0.834	23.1
-0.837	23.1
-0.840	23.1
-0.842	23.1
-0.845	23.1
-0.848	23.1
-0.850	23.0
-0.853	23.0
-0.856	23.0
-0.858	23.1
-0.861	23.1
-0.864	23.1
-0.866	23.1
-0.869	23.1
-0.872	23.0
-0.874	23.1
-0.877	23.1
-0.880	23.1
-0.882	23.1
-0.885	23.1
-0.888	23.1
-0.890	23.1
-0.893	23.1
-0.896	23.1
-0.898	23.1
-0.901	23.1
-0.904	23.1
-0.906	23.1
-0.909	23.1
-0.912	23.1
-0.914	23.1
-0.917	23.1
-0.920	23.1
-0.922	23.2
-0.925	23.1
-0.928	23.1
-0.930	23.1
-0.933	23.1
-0.936	23.1
-0.938	23.1
-0.941	23.2
-0.944	23.2
-0.946	23.2
-0.949	23.1
-0.952	23.2
-0.954	23.2
-0.957	23.2
-0.960	23.2
-0.962	23.2
-0.965	23.2
-0.968	23.2
-0.970	23.2
-0.973	23.2
-0.976	23.2
-0.979	23.2
-0.981	23.2
-0.984	23.2
-0.987	23.2
-0.989	23.2
-0.992	23.2
-0.995	23.2
-0.997	23.2
-1.000	23.2
-1.003	23.2
-1.005	23.2
-1.008	23.2
-1.011	23.2
-1.013	23.2
-1.016	23.2
-1.019	23.2
-1.021	23.2
-1.024	23.2
-1.027	23.2
-1.029	23.2
-1.032	23.2
-1.035	23.2
-1.037	23.2
-1.040	23.2
-1.043	23.2
-1.045	23.2
-1.048	23.2
-1.051	23.3
-1.053	23.3
-1.056	23.2
-1.059	23.2
-1.061	23.2
-1.064	23.2
-1.067	23.2
-1.069	23.3
-1.072	23.3
-1.075	23.3
-1.077	23.3
-1.080	23.3
-1.083	23.3
-1.085	23.3
-1.088	23.3
-1.091	23.3
-1.093	23.3
-1.096	23.3
-1.099	23.3
-1.101	23.3
-1.104	23.3
-1.107	23.3
-1.109	23.3
-1.112	23.2
-1.115	23.2
-1.118	23.2
-1.120	23.2
-1.123	23.3
-1.126	23.3
-1.128	23.3
-1.131	23.3
-1.134	23.3
-1.136	23.3
-1.139	23.3
-1.142	23.3
-1.144	23.3
-1.147	23.3
-1.150	23.3
-1.152	23.3
-1.155	23.3
-1.158	23.3
-1.160	23.3
-1.163	23.3
-1.166	23.3
-1.168	23.3
-1.171	23.3
-1.174	23.3
-1.176	23.3
-1.179	23.3
-1.182	23.3
-1.184	23.3
-1.187	23.3
-1.190	23.3
-1.192	23.2
-1.195	23.2
-1.198	23.2
-1.200	23.3
-1.203	23.2
-1.206	23.2
-1.208	23.3
-1.211	23.3
-1.214	23.3
-1.216	23.3
-1.219	23.3
-1.222	23.3
-1.224	23.3
-1.227	23.3
-1.230	23.3
-1.232	23.3
-1.235	23.3
-1.238	23.4
-1.240	23.4
-1.243	23.4
-1.246	23.3
-1.248	23.4
-1.251	23.3
-1.254	23.3
-1.256	23.3
-1.259	23.3
-1.262	23.4
-1.265	23.3
-1.267	23.3
-1.270	23.3
-1.273	23.3
-1.275	23.3
