a	I
-0.524	19.6
-0.527	19.6
-0.529	19.6
-0.532	19.6
-0.535	19.6
-0.537	19.7
-0.540	19.6
-0.543	19.6
-0.545	19.6
-0.548	19.6
-0.551	19.6
-0.553	19.7
-0.556	19.7
-0.559	19.7
-0.561	19.7
-0.564	19.7
-0.567	19.7
-0.570	19.7
-0.572	19.7
-0.575	19.7
-0.578	19.6
-0.580	19.6
-0.583	19.6
-0.586	19.6
-0.588	19.6
-0.591	19.6
-0.594	19.6
-0.596	19.6
-0.599	19.6
-0.602	19.6
-0.604	19.6
-0.607	19.6
-0.610	19.6
-0.612	19.6
-0.615	19.6
-0.618	19.6
-0.620	19.6
-0.623	19.6
-0.626	19.6
-0.628	19.6
-0.631	19.6
-0.634	19.6
-0.636	19.6
-0.639	19.6
-0.642	19.6
-0.644	19.6
-0.647	19.6
-0.650	19.6
-0.652	19.6
-0.655	19.6
-0.658	19.6
-0.660	19.6
-0.663	19.6
-0.666	19.6
-0.668	19.6
-0.671	19.6
-0.674	19.6
-0.676	19.6
-0.679	19.5
-0.682	19.5
-0.684	19.5
-0.687	19.6
-0.690	19.6
-0.692	19.6
-0.695	19.6
-0.698	19.6
-0.701	19.6
-0.703	19.6
-0.706	19.6
-0.709	19.6
-0.711	19.6
-0.714	19.6
-0.717	19.5
-0.719	19.5
-0.722	19.6
-0.725	19.6
-0.727	19.5
-0.730	19.6
-0.733	19.6
-0.735	19.5
-0.738	19.5
-0.741	19.6
-0.743	19.6
-0.746	19.6
-0.749	19.5
-0.751	19.6
-0.754	19.5
-0.757	19.5
-0.759	19.5
-0.762	19.5
-0.765	19.5
-0.767	19.5
-0.770	19.5
-0.773	19.5
-0.775	19.5
-0.778	19.5
-0.781	19.4
-0.783	19.4
-0.786	19.4
-0.789	19.4
-0.791	19.4
-0.794	19.4
-0.797	19.4
-0.799	19.5
-0.802	19.5
-0.805	19.5
-0.807	19.5
-0.810	19.5
-0.813	19.4
-0.815	19.5
-0.818	19.5
-0.821	19.5
-0.823	19.5
-0.826	19.5
-0.829	19.5
-0.831	19.5
-0.834	19.4
-0.837	19.5
-0.840	19.5
-0.842	19.5
-0.845	19.5
-0.848	19.5
-0.850	19.4
-0.853	19.5
-0.856	19.5
-0.858	19.5
-0.861	19.4
-0.864	19.4
-0.866	19.4
-0.869	19.4
-0.872	19.3
-0.874	19.3
-0.877	19.4
-0.880	19.4
-0.882	19.4
-0.885	19.3
-0.888	19.3
-0.890	19.3
-0.893	19.3
-0.896	19.4
-0.898	19.4
-0.901	19.4
-0.904	19.4
-0.906	19.4
-0.909	19.4
-0.912	19.4
-0.914	19.4
-0.917	19.4
-0.920	19.4
-0.922	19.4
-0.925	19.3
-0.928	19.4
-0.930	19.4
-0.933	19.4
-0.936	19.4
-0.938	19.4
-0.941	19.4
-0.944	19.4
-0.946	19.4
-0.949	19.4
-0.952	19.4
-0.954	19.4
-0.957	19.3
-0.960	19.4
-0.962	19.4
-0.965	19.3
-0.968	19.4
-0.970	19.4
-0.973	19.4
-0.976	19.3
-0.979	19.3
-0.981	19.3
-0.984	19.3
-0.987	19.3
-0.989	19.3
-0.992	19.3
-0.995	19.2
-0.997	19.2
-1.000	19.2
-1.003	19.2
-1.005	19.2
-1.008	19.3
-1.011	19.3
-1.013	19.3
-1.016	19.3
-1.019	19.3
-1.021	19.3
-1.024	19.3
-1.027	19.3
-1.029	19.3
-1.032	19.3
-1.035	19.3
-1.037	19.3
-1.040	19.3
-1.043	19.3
-1.045	19.3
-1.048	19.3
-1.051	19.2
-1.053	19.2
-1.056	19.3
-1.059	19.2
-1.061	19.2
-1.064	19.2
-1.067	19.2
-1.069	19.3
-1.072	19.2
-1.075	19.2
-1.077	19.2
-1.080	19.2
-1.083	19.2
-1.085	19.2
-1.088	19.2
-1.091	19.2
-1.093	19.2
-1.096	19.2
-1.099	19.2
-1.101	19.2
-1.104	19.2
-1.107	19.2
-1.109	19.2
-1.112	19.2
-1.115	19.2
-1.118	19.2
-1.120	19.2
-1.123	19.2
-1.126	19.2
-1.128	19.2
-1.131	19.2
-1.134	19.2
-1.136	19.2
-1.139	19.2
-1.142	19.2
-1.144	19.2
-1.147	19.2
-1.150	19.2
-1.152	19.2
-1.155	19.2
-1.158	19.2
-1.160	19.2
-1.163	19.2
-1.166	19.2
-1.168	19.2
-1.171	19.2
-1.174	19.2
-1.176	19.2
-1.179	19.1
-1.182	19.1
-1.184	19.1
-1.187	19.1
-1.190	19.1
-1.192	19.1
-1.195	19.1
-1.198	19.1
-1.200	19.1
-1.203	19.1
-1.206	19.1
-1.208	19.1
-1.211	19.1
-1.214	19.1
-1.216	19.1
-1.219	19.1
-1.222	19.1
-1.224	19.1
-1.227	19.1
-1.230	19.1
-1.232	19.1
-1.235	19.1
-1.238	19.1
-1.240	19.1
-1.243	19.1
-1.246	19.1
-1.248	19.1
-1.251	19.1
-1.254	19.1
-1.256	19.1
-1.259	19.1
-1.262	19.1
-1.265	19.1
-1.267	19.0
-1.270	19.0
-1.273	19.0
-1.275	19.1
-1.278	19.0
-1.281	19.0
-1.283	19.0
-1.286	19.0
-1.289	18.9
-1.291	19.0
-1.294	19.0
-1.297	19.0
-1.299	19.0
-1.302	19.0
-1.305	18.9
-1.307	18.9
-1.310	18.9
-1.313	19.0
-1.315	18.9
-1.318	18.9
-1.321	18.9
-1.323	18.9
-1.326	18.9
-1.329	18.9
-1.331	18.9
-1.334	18.9
-1.337	18.9
-1.339	18.9
-1.342	18.9
-1.345	18.9
-1.347	18.9
-1.350	18.9
-1.353	18.9
-1.355	18.9
-1.358	18.8
-1.361	18.8
-1.363	18.8
-1.366	18.8
-1.369	18.8
-1.371	18.8
-1.374	18.8
-1.377	18.8
-1.379	18.8
-1.382	18.8
-1.385	18.8
-1.387	18.7
-1.390	18.7
-1.393	18.8
-1.395	18.8
-1.398	18.8
-1.401	18.7
-1.403	18.7
-1.406	18.7
-1.409	18.7
-1.411	18.7
-1.414	18.7
-1.417	18.7
-1.419	18.7
-1.422	18.7
-1.425	18.7
-1.428	18.6
-1.430	18.6
-1.433	18.6
-1.436	18.7
-1.438	18.6
-1.441	18.6
-1.444	18.7
-1.446	18.7
-1.449	18.7
-1.452	18.7
-1.454	18.7
-1.457	18.7
-1.460	18.7
-1.462	18.7
-1.465	18.7
-1.468	18.7
-1.470	18.7
-1.473	18.7
-1.476	18.7
-1.478	18.7
-1.481	18.7
-1.484	18.7
-1.486	18.7
-1.489	18.7
-1.492	18.7
-1.494	18.7
-1.497	18.7
-1.500	18.7
-1.502	18.6
-1.505	18.6
-1.508	18.7
-1.510	18.7
-1.513	18.6
-1.516	18.6
-1.518	18.6
-1.521	18.6
-1.524	18.6
-1.526	18.6
-1.529	18.6
-1.532	18.6
-1.534	18.6
-1.537	18.6
-1.540	18.6
-1.542	18.6
-1.545	18.6
-1.548	18.6
-1.550	18.6
-1.553	18.6
-1.556	18.6
-1.558	18.6
-1.561	18.5
-1.564	18.5
-1.566	18.5
-1.569	18.6
-1.572	18.5
-1.574	18.5
-1.577	18.5
-1.580	18.5
-1.582	18.5
-1.585	18.5
-1.588	18.5
-1.591	18.5
-1.593	18.5
-1.596	18.5
-1.599	18.4
-1.601	18.4
-1.604	18.4
-1.607	18.5
-1.609	18.4
-1.612	18.4
-1.615	18.4
-1.617	18.4
-1.620	18.4
-1.623	18.4
-1.625	18.4
-1.628	18.4
-1.631	18.4
-1.633	18.4
-1.636	18.3
-1.639	18.3
-1.641	18.3
-1.644	18.3
-1.647	18.3
-1.649	18.3
-1.652	18.3
-1.655	18.3
-1.657	18.3
-1.660	18.3
-1.663	18.3
-1.665	18.3
-1.668	18.3
-1.671	18.3
-1.673	18.2
-1.676	18.2
-1.679	18.3
-1.681	18.3
-1.684	18.3
-1.687	18.3
-1.689	18.3
-1.692	18.3
-1.695	18.2
-1.697	18.3
-1.700	18.3
-1.703	18.3
-1.705	18.3
-1.708	18.3
-1.711	18.2
-1.713	18.3
-1.716	18.3
